"DeclarableId","ULOC","CC","COCO","PC","LLOC"
"com.airbnb.lottie.parser.moshi.JsonEncodingException://JsonEncodingException.constructor$[27:2,29:2]",3,1,0,1,0
"com.airbnb.lottie.parser.AnimatableTransformParser://AnimatableTransformParser.constructor$[20:10,21:2]",2,1,0,0,0
"com.airbnb.lottie.parser.AnimatableTransformParser://parse$[38:16,140:2]",65,20,10,2,0
"com.airbnb.lottie.parser.AnimatableTransformParser://isAnchorPointIdentity$[142:17,144:2]",3,3,2,1,0
"com.airbnb.lottie.parser.AnimatableTransformParser://isPositionIdentity$[146:17,150:2]",5,4,2,1,0
"com.airbnb.lottie.parser.AnimatableTransformParser://isRotationIdentity$[152:17,154:2]",3,3,2,1,0
"com.airbnb.lottie.parser.AnimatableTransformParser://isScaleIdentity$[156:17,158:2]",3,3,2,1,0
"com.airbnb.lottie.parser.AnimatableTransformParser://isSkewIdentity$[160:17,162:2]",3,3,2,1,0
"com.airbnb.lottie.parser.AnimatableTransformParser://isSkewAngleIdentity$[164:17,166:2]",3,3,2,1,0
"com.airbnb.lottie.parser.FloatParser://FloatParser.constructor$[11:10,12:2]",2,1,0,0,0
"com.airbnb.lottie.parser.FloatParser://parse$[14:19,16:2]",3,1,0,2,0
"com.airbnb.lottie.model.animatable.AnimatablePathValue://AnimatablePathValue.constructor$[15:9,17:2]",3,1,0,1,0
"com.airbnb.lottie.model.animatable.AnimatablePathValue://getKeyframes$[20:9,22:2]",3,1,0,0,0
"com.airbnb.lottie.model.animatable.AnimatablePathValue://isStatic$[25:9,27:2]",3,2,1,0,0
"com.airbnb.lottie.model.animatable.AnimatablePathValue://createAnimation$[30:9,35:2]",6,2,1,0,0
"com.airbnb.lottie.parser.KeyframesParser://KeyframesParser.constructor$[16:10,17:2]",2,1,0,0,0
"com.airbnb.lottie.parser.KeyframesParser://parse$[19:13,56:2]",32,9,17,5,0
"com.airbnb.lottie.parser.KeyframesParser://setEndFrames$[62:20,82:2]",18,8,10,1,0
"com.airbnb.lottie.OnCompositionLoadedListener://onCompositionLoaded$[14:2,14:67]",1,1,0,1,0
"com.airbnb.lottie.LottieComposition://init$[72:9,88:2]",14,1,0,11,0
"com.airbnb.lottie.LottieComposition://addWarning$[91:9,94:2]",4,1,0,1,0
"com.airbnb.lottie.LottieComposition://setHasDashPattern$[97:9,99:2]",3,1,0,1,0
"com.airbnb.lottie.LottieComposition://incrementMatteOrMaskCount$[102:9,104:2]",3,1,0,1,0
"com.airbnb.lottie.LottieComposition://hasDashPattern$[110:9,112:2]",3,1,0,0,0
"com.airbnb.lottie.LottieComposition://getMaskAndMatteCount$[118:9,120:2]",3,1,0,0,0
"com.airbnb.lottie.LottieComposition://getWarnings$[122:9,124:2]",3,1,0,0,0
"com.airbnb.lottie.LottieComposition://setPerformanceTrackingEnabled$[126:43,128:2]",3,1,0,1,0
"com.airbnb.lottie.LottieComposition://getPerformanceTracker$[130:9,132:2]",3,1,0,0,0
"com.airbnb.lottie.LottieComposition://layerModelForId$[135:9,137:2]",3,1,0,1,0
"com.airbnb.lottie.LottieComposition://getBounds$[139:43,141:2]",3,1,0,0,0
"com.airbnb.lottie.LottieComposition://getDuration$[143:43,145:2]",3,1,0,0,0
"com.airbnb.lottie.LottieComposition://getStartFrame$[147:9,149:2]",3,1,0,0,0
"com.airbnb.lottie.LottieComposition://getEndFrame$[151:9,153:2]",3,1,0,0,0
"com.airbnb.lottie.LottieComposition://getFrameForProgress$[155:9,157:2]",3,1,0,1,0
"com.airbnb.lottie.LottieComposition://getProgressForFrame$[159:9,163:2]",5,1,0,1,0
"com.airbnb.lottie.LottieComposition://getFrameRate$[165:9,167:2]",3,1,0,0,0
"com.airbnb.lottie.LottieComposition://getLayers$[169:9,171:2]",3,1,0,0,0
"com.airbnb.lottie.LottieComposition://getPrecomps$[175:9,177:2]",3,1,0,1,0
"com.airbnb.lottie.LottieComposition://getCharacters$[179:9,181:2]",3,1,0,0,0
"com.airbnb.lottie.LottieComposition://getFonts$[183:9,185:2]",3,1,0,0,0
"com.airbnb.lottie.LottieComposition://getMarkers$[187:9,189:2]",3,1,0,0,0
"com.airbnb.lottie.LottieComposition://getMarker$[192:9,201:2]",10,3,3,1,0
"com.airbnb.lottie.LottieComposition://hasImages$[203:9,205:2]",3,1,0,0,0
"com.airbnb.lottie.LottieComposition://getImages$[212:9,214:2]",3,1,0,0,0
"com.airbnb.lottie.LottieComposition://getDurationFrames$[216:9,218:2]",3,1,0,0,0
"com.airbnb.lottie.LottieComposition://toString$[223:9,229:2]",7,2,1,0,0
"com.airbnb.lottie.model.CubicCurveData://CubicCurveData.constructor$[43:9,47:2]",5,1,0,0,0
"com.airbnb.lottie.model.CubicCurveData://CubicCurveData.constructor$[49:9,53:2]",5,1,0,3,0
"com.airbnb.lottie.model.CubicCurveData://setControlPoint1$[55:9,57:2]",3,1,0,2,0
"com.airbnb.lottie.model.CubicCurveData://getControlPoint1$[59:9,61:2]",3,1,0,0,0
"com.airbnb.lottie.model.CubicCurveData://setControlPoint2$[63:9,65:2]",3,1,0,2,0
"com.airbnb.lottie.model.CubicCurveData://getControlPoint2$[67:9,69:2]",3,1,0,0,0
"com.airbnb.lottie.model.CubicCurveData://setVertex$[71:9,73:2]",3,1,0,2,0
"com.airbnb.lottie.model.CubicCurveData://setFrom$[75:9,79:2]",5,1,0,1,0
"com.airbnb.lottie.model.CubicCurveData://getVertex$[81:9,83:2]",3,1,0,0,0
"com.airbnb.lottie.model.CubicCurveData://toString$[87:19,90:2]",4,1,0,0,0
"com.airbnb.lottie.utils.Logger://setInstance$[13:16,15:2]",3,1,0,1,0
"com.airbnb.lottie.utils.Logger://debug$[17:16,19:2]",3,1,0,1,0
"com.airbnb.lottie.utils.Logger://debug$[21:16,23:2]",3,1,0,2,0
"com.airbnb.lottie.utils.Logger://warning$[25:16,27:2]",3,1,0,1,0
"com.airbnb.lottie.utils.Logger://warning$[29:16,31:2]",3,1,0,2,0
"com.airbnb.lottie.utils.Logger://error$[33:16,35:2]",3,1,0,2,0
"com.airbnb.lottie.model.animatable.AnimatableIntegerValue://AnimatableIntegerValue.constructor$[11:9,13:2]",3,1,0,1,0
"com.airbnb.lottie.model.animatable.AnimatableIntegerValue://createAnimation$[15:19,17:2]",3,1,0,0,0
"com.airbnb.lottie.LottieLogger://debug$[8:2,8:28]",1,1,0,1,0
"com.airbnb.lottie.LottieLogger://debug$[10:2,10:49]",1,1,0,2,0
"com.airbnb.lottie.LottieLogger://warning$[12:2,12:30]",1,1,0,1,0
"com.airbnb.lottie.LottieLogger://warning$[14:2,14:51]",1,1,0,2,0
"com.airbnb.lottie.LottieLogger://error$[16:2,16:49]",1,1,0,2,0
"com.airbnb.lottie.network.NetworkFetcher://NetworkFetcher.constructor$[30:9,33:2]",4,1,0,2,0
"com.airbnb.lottie.network.NetworkFetcher://fetchSync$[37:9,46:2]",8,2,1,3,0
"com.airbnb.lottie.network.NetworkFetcher://fetchFromCache$[50:10,71:2]",20,7,6,3,0
"com.airbnb.lottie.network.NetworkFetcher://fetchFromNetwork$[75:10,101:2]",26,6,6,3,0
"com.airbnb.lottie.network.NetworkFetcher://fromInputStream$[104:10,131:2]",22,9,6,5,0
"com.airbnb.lottie.network.NetworkFetcher://fromZipStream$[134:10,141:2]",8,3,2,4,0
"com.airbnb.lottie.network.NetworkFetcher://fromJsonStream$[144:10,151:2]",8,3,2,3,0
"com.airbnb.lottie.model.content.ShapePath://ShapePath.constructor$[16:9,21:2]",6,1,0,4,0
"com.airbnb.lottie.model.content.ShapePath://getName$[23:9,25:2]",3,1,0,0,0
"com.airbnb.lottie.model.content.ShapePath://getShapePath$[27:9,29:2]",3,1,0,0,0
"com.airbnb.lottie.model.content.ShapePath://toContent$[31:19,33:2]",3,1,0,3,0
"com.airbnb.lottie.model.content.ShapePath://isHidden$[35:9,37:2]",3,1,0,0,0
"com.airbnb.lottie.model.content.ShapePath://toString$[39:19,43:2]",5,1,0,0,0
"com.airbnb.lottie.model.animatable.AnimatableColorValue://AnimatableColorValue.constructor$[10:9,12:2]",3,1,0,1,0
"com.airbnb.lottie.model.animatable.AnimatableColorValue://createAnimation$[14:19,16:2]",3,1,0,0,0
"com.airbnb.lottie.animation.content.RepeaterContent://RepeaterContent.constructor$[40:9,56:2]",15,1,0,3,0
