"DeclarableId","ULOC","CC","COCO","PC","LLOC"
"org.mockito.internal.creation.bytebuddy.SubclassByteBuddyMockMaker://resetMock$[155:11,157:4]",3,1,0,3,0
"org.mockito.internal.creation.bytebuddy.SubclassByteBuddyMockMaker://isTypeMockable$[160:11,186:4]",4,7,5,1,0
"org.mockito.internal.creation.bytebuddy.SubclassByteBuddyMockMaker://clearAllCaches$[189:11,191:4]",3,1,0,0,0
"org.mockito.internal.matchers.Equals://Equals.constructor$[16:11,18:4]",3,1,0,1,0
"org.mockito.internal.matchers.Equals://matches$[21:11,23:4]",3,1,0,1,0
"org.mockito.internal.matchers.Equals://type$[26:11,28:4]",3,2,1,0,0
"org.mockito.internal.matchers.Equals://toString$[31:11,33:4]",3,1,0,0,0
"org.mockito.internal.matchers.Equals://describe$[35:12,37:4]",3,1,0,1,0
"org.mockito.internal.matchers.Equals://getWanted$[40:17,42:4]",3,1,0,0,0
"org.mockito.internal.matchers.Equals://equals$[45:11,52:4]",8,5,4,1,0
"org.mockito.internal.matchers.Equals://hashCode$[55:11,57:4]",3,1,0,0,0
"org.mockito.internal.matchers.Equals://toStringWithType$[60:11,62:4]",3,1,0,1,0
"org.mockito.internal.matchers.Equals://typeMatches$[65:11,67:4]",3,3,1,1,0
"org.mockito.internal.util.reflection.SuperTypesLastSorter://SuperTypesLastSorter.constructor$[20:12,20:36]",1,1,0,0,0
"org.mockito.internal.util.reflection.SuperTypesLastSorter://sortSuperTypesLast$[26:18,54:4]",23,7,10,1,0
"org.mockito.stubbing.VoidAnswer4://answer$[43:4,43:88]",1,1,0,4,0
"org.mockito.mock.MockName://toString$[14:4,14:21]",1,1,0,0,0
"org.mockito.mock.MockName://isDefault$[19:4,19:23]",1,1,0,0,0
"org.mockito.internal.InOrderImpl://getMocksToBeVerifiedInOrder$[38:11,40:4]",3,1,0,0,0
"org.mockito.internal.InOrderImpl://InOrderImpl.constructor$[42:11,44:4]",3,1,0,1,0
"org.mockito.internal.InOrderImpl://verify$[47:15,49:4]",3,1,0,1,0
"org.mockito.internal.InOrderImpl://verify$[52:15,72:4]",21,6,5,2,0
"org.mockito.internal.InOrderImpl://verify$[75:11,90:4]",14,4,3,3,0
"org.mockito.internal.InOrderImpl://objectIsMockToBeVerified$[97:12,104:4]",8,3,3,1,0
"org.mockito.internal.InOrderImpl://isVerified$[107:11,109:4]",3,1,0,1,0
"org.mockito.internal.InOrderImpl://markVerified$[112:11,114:4]",3,1,0,1,0
"org.mockito.internal.InOrderImpl://verifyNoMoreInteractions$[117:11,119:4]",3,1,0,0,0
"org.mockito.internal.util.StringUtil://StringUtil.constructor$[17:12,17:26]",1,1,0,0,0
"org.mockito.internal.util.StringUtil://removeFirstLine$[23:18,25:4]",3,1,0,1,0
"org.mockito.internal.util.StringUtil://join$[31:18,33:4]",3,1,0,1,0
"org.mockito.internal.util.StringUtil://join$[41:18,43:4]",3,1,0,2,0
"org.mockito.internal.util.StringUtil://join$[52:18,61:4]",10,3,2,3,0
"org.mockito.internal.util.StringUtil://decamelizeMatcherName$[63:18,75:4]",10,3,2,1,0
"org.mockito.internal.util.StringUtil://decamelizeClassName$[77:19,89:4]",13,4,4,1,0
"org.mockito.mock.MockCreationSettings://getTypeToMock$[28:4,28:28]",1,1,0,0,0
"org.mockito.mock.MockCreationSettings://getExtraInterfaces$[33:4,33:38]",1,1,0,0,0
"org.mockito.mock.MockCreationSettings://getMockName$[38:4,38:26]",1,1,0,0,0
"org.mockito.mock.MockCreationSettings://getDefaultAnswer$[43:4,43:32]",1,1,0,0,0
"org.mockito.mock.MockCreationSettings://getSpiedInstance$[48:4,48:29]",1,1,0,0,0
"org.mockito.mock.MockCreationSettings://isSerializable$[53:4,53:28]",1,1,0,0,0
"org.mockito.mock.MockCreationSettings://getSerializableMode$[58:4,58:42]",1,1,0,0,0
"org.mockito.mock.MockCreationSettings://isStubOnly$[65:4,65:24]",1,1,0,0,0
"org.mockito.mock.MockCreationSettings://isStripAnnotations$[70:4,70:32]",1,1,0,0,0
