"DeclarableId","MLOC","WMC","CWMC","DIT","NOC","CBO","RFC","LCOM","NOU","LC"
"org.elasticsearch.cluster.routing.allocation.command.AllocationCommand",10,4,0,2,0,1,5,3,4,0
"org.elasticsearch.search.aggregations.bucket.sampler.random.RandomSamplerAggregatorFactory",37,5,1,1,0,23,14,1,4,0
"org.elasticsearch.search.aggregations.bucket.terms.ParsedDoubleTerms",47,3,0,1,0,15,4,2,3,1
"org.elasticsearch.search.aggregations.bucket.composite.SortedDocsProducer",52,12,13,0,2,22,17,2,3,0
"org.elasticsearch.discovery.PeersRequest",37,12,4,2,0,16,9,1,8,0
"org.elasticsearch.search.profile.aggregation.InternalAggregationProfileTree",21,6,2,0,0,16,11,3,4,0
"org.elasticsearch.search.aggregations.bucket.range.IpRangeAggregationBuilder",280,53,25,0,0,168,52,7,32,2
"org.elasticsearch.snapshots.SnapshotShardSizeInfo",31,8,4,0,0,16,10,2,3,0
"org.elasticsearch.action.fieldcaps.FieldCapabilitiesResponse",157,33,9,3,0,109,45,1,22,9
"org.elasticsearch.snapshots.SnapshotState",34,10,1,0,0,15,4,1,5,0
"org.elasticsearch.rest.action.ingest.RestSimulatePipelineAction",20,3,0,1,0,17,17,3,3,1
"org.elasticsearch.plugins.RepositoryPlugin",22,3,0,0,0,2,4,2,3,0
"org.elasticsearch.action.admin.indices.refresh.RefreshAction",7,1,0,0,0,7,0,1,1,0
"org.elasticsearch.common.geo.GeoPoint",189,57,22,0,0,109,53,1,33,0
"org.elasticsearch.index.query.ParsedQuery",25,6,0,0,0,11,6,1,6,0
"org.elasticsearch.cluster.routing.ShardRoutingState",22,7,1,0,0,48,2,1,3,0
"org.elasticsearch.script.UpsertMetadata",29,4,0,2,0,12,7,2,4,0
"org.elasticsearch.indices.recovery.plan.ShardSnapshot",67,16,2,0,0,35,27,1,14,2
"org.elasticsearch.action.admin.cluster.repositories.verify.VerifyRepositoryAction",7,1,0,0,0,6,0,1,1,0
"org.elasticsearch.search.aggregations.bucket.nested.Nested",0,0,0,3,0,0,0,0,0,0
"org.elasticsearch.action.search.SearchResponse",399,81,93,3,0,263,66,1,29,0
"org.elasticsearch.common.util.AbstractHash",22,6,0,1,3,7,6,1,6,0
"org.elasticsearch.cluster.metadata.RepositoryMetadata",105,32,12,0,0,66,21,1,18,0
"org.elasticsearch.plugins.scanners.ExtensibleFileReader",20,4,2,0,0,9,8,1,2,0
"org.elasticsearch.search.profile.Profilers",47,10,2,0,0,23,22,3,8,0
"org.elasticsearch.rest.RestResponse",161,40,23,0,0,104,48,4,22,3
"org.elasticsearch.common.inject.Scopes",54,6,3,0,0,35,11,2,3,0
"org.elasticsearch.common.io.stream.NotSerializableExceptionWrapper",37,9,6,1,0,22,4,1,5,0
"org.elasticsearch.action.support.CountDownActionListener",39,11,10,0,0,17,9,1,4,2
"org.elasticsearch.search.aggregations.bucket.geogrid.GeoGridAggregator",110,27,28,4,0,55,33,1,10,2
"org.elasticsearch.action.admin.cluster.node.reload.NodesReloadSecureSettingsAction",7,1,0,0,0,4,0,1,1,0
"org.elasticsearch.tasks.TaskManager",548,79,57,0,0,285,116,1,32,16
"org.elasticsearch.index.get.GetStats",114,28,6,0,0,67,24,1,19,0
"org.elasticsearch.http.BindHttpException",11,3,0,2,0,0,0,1,3,0
"org.elasticsearch.action.admin.indices.rollover.RolloverRequestBuilder",80,20,0,0,0,44,20,3,20,0
"org.elasticsearch.action.admin.indices.rollover.MaxSizeCondition",30,9,2,0,0,28,17,1,7,0
"org.elasticsearch.search.aggregations.bucket.InternalSingleBucketAggregation",118,34,21,1,7,53,37,1,18,0
"org.elasticsearch.rest.action.admin.indices.RestIndexDeleteAliasesAction",17,3,0,1,0,22,17,3,3,1
"org.elasticsearch.transport.Header",89,20,4,0,0,18,21,1,17,0
"org.elasticsearch.action.admin.indices.flush.ShardFlushRequest",22,5,0,0,0,7,3,2,5,0
"org.elasticsearch.common.inject.Stage",5,0,0,0,0,44,0,0,0,0
"org.elasticsearch.rest.action.admin.indices.RestFieldUsageStatsAction",18,3,0,1,0,17,16,3,3,1
"org.elasticsearch.action.termvectors.TermVectorsAction",7,1,0,0,0,7,0,1,1,0
"org.elasticsearch.transport.InboundDecoder",174,46,53,0,0,77,39,1,13,0
"org.elasticsearch.common.inject.internal.InstanceBindingImpl",45,8,0,0,0,17,12,1,8,0
