"DeclarableId","ULOC","CC","COCO","PC","LLOC"
"org.springframework.core.io.buffer.DataBufferUtils://join$[592:15,604:1]",11,2,1,2,3
"org.springframework.core.io.buffer.DataBufferUtils://matcher$[613:15,615:1]",3,1,0,1,0
"org.springframework.core.io.buffer.DataBufferUtils://matcher$[624:15,627:1]",4,2,1,1,0
"org.springframework.core.io.buffer.DataBufferUtils://createMatcher$[629:16,638:1]",9,4,3,1,0
"org.springframework.util.comparator.BooleanComparator://BooleanComparator.constructor$[60:8,62:1]",3,1,0,1,0
"org.springframework.util.comparator.BooleanComparator://compare$[66:8,68:1]",3,3,3,2,0
"org.springframework.util.comparator.BooleanComparator://equals$[72:8,75:1]",4,3,2,1,0
"org.springframework.util.comparator.BooleanComparator://hashCode$[78:8,80:1]",3,2,1,0,0
"org.springframework.util.comparator.BooleanComparator://toString$[83:8,85:1]",3,2,1,0,0
"org.springframework.aot.hint.support.SpringFactoriesLoaderRuntimeHints://registerHints$[50:8,54:1]",5,2,1,2,0
"org.springframework.aot.hint.support.SpringFactoriesLoaderRuntimeHints://registerHints$[56:9,62:1]",6,1,0,3,2
"org.springframework.aot.hint.support.SpringFactoriesLoaderRuntimeHints://registerHints$[64:9,88:1]",25,8,12,4,0
"org.springframework.aot.hint.support.SpringFactoriesLoaderRuntimeHints://resolveClassName$[91:9,101:1]",10,2,1,2,0
"org.springframework.cglib.core.ProcessSwitchCallback://processCase$[21:4,21:57]",1,1,0,2,0
"org.springframework.cglib.core.ProcessSwitchCallback://processDefault$[22:4,22:42]",1,1,0,0,0
"org.springframework.core.style.StylerUtils://style$[46:15,48:1]",3,1,0,1,0
"org.springframework.core.io.buffer.TouchableDataBuffer://touch$[32:1,32:39]",1,1,0,1,0
"org.springframework.core.metrics.jfr.FlightRecorderStartupStep://FlightRecorderStartupStep.constructor$[42:8,48:1]",6,1,0,4,0
"org.springframework.core.metrics.jfr.FlightRecorderStartupStep://getName$[52:8,54:1]",3,1,0,0,0
"org.springframework.core.metrics.jfr.FlightRecorderStartupStep://getId$[57:8,59:1]",3,1,0,0,0
"org.springframework.core.metrics.jfr.FlightRecorderStartupStep://getParentId$[62:8,64:1]",3,1,0,0,0
"org.springframework.core.metrics.jfr.FlightRecorderStartupStep://tag$[67:8,70:1]",4,1,0,2,0
"org.springframework.core.metrics.jfr.FlightRecorderStartupStep://tag$[73:8,76:1]",4,1,0,2,0
"org.springframework.core.metrics.jfr.FlightRecorderStartupStep://getTags$[79:8,81:1]",3,1,0,0,0
"org.springframework.core.metrics.jfr.FlightRecorderStartupStep://end$[84:8,95:1]",12,2,1,0,2
"org.springframework.core.metrics.jfr.FlightRecorderStartupStep://getEvent$[97:11,99:1]",3,1,0,0,0
"org.springframework.cglib.beans.BulkBean://BulkBean.constructor$[42:14,42:27]",1,1,0,0,0
"org.springframework.cglib.beans.BulkBean://getPropertyValues$[44:20,44:72]",1,1,0,2,0
"org.springframework.cglib.beans.BulkBean://setPropertyValues$[45:20,45:72]",1,1,0,2,0
"org.springframework.cglib.beans.BulkBean://getPropertyValues$[47:11,51:4]",5,1,0,1,0
"org.springframework.cglib.beans.BulkBean://getPropertyTypes$[53:11,55:4]",3,1,0,0,0
"org.springframework.cglib.beans.BulkBean://getGetters$[57:11,59:4]",3,1,0,0,0
"org.springframework.cglib.beans.BulkBean://getSetters$[61:11,63:4]",3,1,0,0,0
"org.springframework.cglib.beans.BulkBean://create$[65:18,72:4]",8,1,0,4,0
