"DeclarableId","MLOC","WMC","CWMC","DIT","NOC","CBO","RFC","LCOM","NOU","LC"
"org.springframework.cglib.core.DefaultNamingPolicy",32,9,5,0,0,16,9,2,4,0
"org.springframework.core.type.classreading.SimpleAnnotationMetadata",89,24,7,0,0,44,23,1,18,0
"org.springframework.core.annotation.AbstractMergedAnnotation",121,41,6,0,0,16,48,1,35,1
"org.springframework.cglib.core.ClassLoaderAwareGeneratorStrategy",31,6,4,1,0,15,5,1,2,0
"org.springframework.cglib.transform.ClassEmitterTransformer",0,0,0,3,8,0,0,0,0,0
"org.springframework.core.type.filter.AspectJTypeFilter",19,2,0,0,0,20,5,1,2,0
"org.springframework.util.CustomizableThreadCreator",52,16,2,0,1,20,18,2,14,0
"org.springframework.util.unit.DataUnit",24,5,3,0,0,8,5,1,3,0
"org.springframework.cglib.core.SpringNamingPolicy",26,8,6,0,0,12,6,2,2,0
"org.springframework.core.io.ClassPathResource",103,35,19,2,0,70,21,1,15,0
"org.springframework.core.type.ClassMetadata",21,14,1,0,1,0,13,12,13,0
"org.springframework.core.log.CompositeLog",72,23,3,0,0,16,15,1,21,0
"org.springframework.util.xml.SimpleNamespaceContext",79,27,24,0,0,68,27,2,10,1
"org.springframework.cglib.core.FieldTypeCustomizer",4,2,0,1,0,0,2,2,2,0
"org.springframework.core.task.support.ConcurrentExecutorAdapter",10,2,0,0,0,4,1,1,2,0
"org.springframework.aot.generate.GeneratedTypeReference",20,6,1,1,0,12,7,1,5,0
"org.springframework.core.task.SyncTaskExecutor",6,1,0,0,0,2,3,1,1,0
"org.springframework.core.task.TaskDecorator",3,1,0,0,0,0,1,1,1,0
"org.springframework.asm.ClassWriter",582,129,99,1,0,361,92,3,36,0
"org.springframework.core.convert.support.MapToMapConverter",75,20,13,0,0,40,24,2,8,0
"org.springframework.core.convert.support.StringToCharacterConverter",12,3,2,0,0,5,5,1,1,0
"org.springframework.core.ConfigurableObjectInputStream",66,17,18,1,0,28,9,2,6,0
"org.springframework.cglib.beans.FixedKeySet",14,3,0,1,0,7,2,1,3,0
"org.springframework.cglib.transform.MethodFilter",3,1,0,0,0,0,1,1,1,0
"org.springframework.util.unit.DataSize",89,23,4,0,0,46,32,1,19,0
"org.springframework.util.LinkedCaseInsensitiveMap",289,51,28,0,0,144,29,2,28,0
"org.springframework.cglib.transform.AbstractClassFilterTransformer",54,13,1,3,1,15,11,2,12,0
"org.springframework.core.codec.DecodingException",8,2,0,2,0,0,0,1,2,0
"org.springframework.core.KotlinReflectionParameterNameDiscoverer",42,14,13,0,0,30,14,1,3,1
"org.springframework.core.io.buffer.DataBufferWrapper",116,37,0,0,0,73,22,1,37,0
"org.springframework.util.xml.AbstractXMLStreamReader",122,57,30,0,1,62,38,1,21,0
"org.springframework.util.FileSystemUtils",58,11,7,0,0,32,17,1,4,0
"org.springframework.aot.hint.ExecutableMode",7,2,1,0,0,23,2,1,1,0
"org.springframework.core.metrics.ApplicationStartup",3,1,0,0,0,0,1,1,1,0
"org.springframework.util.ObjectUtils",487,158,137,0,0,224,38,1,39,0
"org.springframework.core.type.classreading.MetadataReader",5,3,0,0,0,0,3,3,3,0
"org.springframework.util.xml.AbstractXMLReader",64,22,10,0,1,18,17,3,13,0
"org.springframework.core.codec.NettyByteBufEncoder",29,8,4,0,0,15,15,2,4,1
"org.springframework.cglib.proxy.InvocationHandler",3,1,0,1,0,0,1,1,1,0
"org.springframework.asm.Handle",59,18,5,0,0,17,8,1,10,0
"org.springframework.core.env.MissingRequiredPropertiesException",13,3,0,0,0,4,4,1,3,0
"org.springframework.core.annotation.AnnotationAttributes",156,40,14,0,0,64,40,3,27,1
"org.springframework.util.ClassUtils",654,205,161,0,0,381,128,3,71,1
"org.springframework.cglib.beans.BeanCopier",128,2,0,0,0,84,6,3,2,0
"org.springframework.util.concurrent.MonoToListenableFutureAdapter",5,1,0,0,0,1,0,1,1,0
"org.springframework.util.concurrent.SuccessCallback",3,1,0,0,0,0,1,1,1,0
"org.springframework.util.FastByteArrayOutputStream",288,44,43,1,0,218,28,2,15,0
"org.springframework.aot.nativex.ReflectionHintsWriter",75,25,4,0,0,48,28,2,9,3
"org.springframework.core.io.buffer.DefaultDataBuffer",350,72,35,0,0,243,61,1,43,0
"org.springframework.core.env.CommandLinePropertySource",39,14,7,0,0,13,9,1,8,0
"org.springframework.core.serializer.DefaultSerializer",11,2,1,0,0,7,8,1,1,0
"org.springframework.core.io.buffer.NettyDataBuffer",209,61,28,0,0,143,51,2,41,0
"org.springframework.util.xml.AbstractStaxHandler",166,53,19,0,2,63,54,2,34,0
"org.springframework.aot.generate.MethodName",61,20,13,0,0,34,25,1,10,0
"org.springframework.util.CollectionUtils",204,72,68,0,0,70,47,1,25,0
"org.springframework.core.ReactiveTypeDescriptor",66,18,3,0,0,39,17,1,15,0
"org.springframework.core.io.InputStreamSource",3,1,0,0,1,0,1,1,1,0
"org.springframework.util.concurrent.ListenableFutureTask",44,10,5,0,0,22,12,1,6,0
"org.springframework.util.xml.SimpleTransformErrorListener",15,4,0,0,0,3,4,1,4,0
"org.springframework.cglib.transform.ClassTransformerTee",10,2,0,2,0,4,2,1,2,0
"org.springframework.core.io.support.ResourcePropertySource",62,19,8,2,0,45,10,1,12,0
"org.springframework.core.convert.support.NumberToNumberConverterFactory",17,2,0,0,0,5,4,1,2,0
"org.springframework.cglib.core.ClassTransformer",9,3,0,1,3,1,1,1,3,0
"org.springframework.cglib.proxy.MethodProxy",129,24,14,0,0,64,31,2,12,0
"org.springframework.core.env.MutablePropertySources",106,28,10,0,0,47,25,1,20,0
"org.springframework.core.io.ContextResource",3,1,0,2,0,0,1,1,1,0
"org.springframework.cglib.core.CodeGenerationException",10,2,0,0,1,4,1,1,2,0
"org.springframework.core.codec.EncodingException",8,2,0,2,0,0,0,1,2,0
"org.springframework.util.xml.AbstractStaxXMLReader",108,32,23,1,2,42,25,1,12,0
"org.springframework.core.serializer.DefaultDeserializer",18,4,1,0,0,6,4,1,3,0
"org.springframework.aot.hint.RuntimeHints",22,5,0,0,0,10,5,1,5,0
"org.springframework.aot.generate.ClassNameGenerator",62,17,9,0,0,36,26,2,10,1
"org.springframework.cglib.core.MethodInfo",23,10,2,0,0,4,7,2,8,0
"org.springframework.aot.hint.RuntimeHintsRegistrar",3,1,0,0,0,0,1,1,1,0
"org.springframework.asm.Frame",810,333,174,0,1,215,42,3,23,0
"org.springframework.core.codec.CodecException",8,2,0,1,2,0,0,1,2,0
"org.springframework.core.task.TaskExecutor",3,1,0,1,1,0,1,1,1,0
"org.springframework.util.concurrent.FutureAdapter",60,14,5,0,0,17,7,1,9,0
"org.springframework.util.concurrent.ListenableFuture",9,3,0,0,0,1,3,1,3,0
"org.springframework.core.convert.TypeDescriptor",312,97,57,0,0,174,61,1,43,0
"org.springframework.util.Base64Utils",44,14,6,0,0,22,13,1,8,0
"org.springframework.cglib.core.ReflectUtils",494,128,119,0,0,307,81,4,40,0
"org.springframework.core.type.StandardMethodMetadata",69,23,5,0,0,43,21,1,17,0
"org.springframework.aot.hint.JavaSerializationHint",42,9,4,0,0,19,6,1,5,0
"org.springframework.util.xml.DomUtils",73,25,19,0,0,39,24,1,10,0
"org.springframework.core.MethodIntrospector",60,14,17,0,0,29,24,2,4,1
"org.springframework.aot.nativex.ProxyHintsWriter",19,4,1,0,0,14,11,2,3,0
"org.springframework.core.convert.support.EnumToStringConverter",8,2,0,1,0,1,2,2,2,0
"org.springframework.core.io.support.DefaultPropertySourceFactory",5,2,1,0,0,2,2,1,1,0
"org.springframework.core.type.classreading.SimpleMetadataReaderFactory",41,11,8,0,1,25,9,1,6,0
"org.springframework.cglib.core.MethodWrapper",18,4,1,0,0,16,12,2,3,0
"org.springframework.core.convert.converter.ConditionalGenericConverter",0,0,0,1,0,0,0,0,0,0
"org.springframework.core.convert.support.ObjectToCollectionConverter",27,9,5,0,0,15,11,2,4,0
"org.springframework.cglib.core.ClassGenerator",3,1,0,0,0,0,1,1,1,0
"org.springframework.asm.Type",463,173,101,0,0,273,37,3,36,0
"org.springframework.core.io.VfsUtils",121,24,8,0,1,54,21,3,17,0
"org.springframework.cglib.core.ClassInfo",23,10,2,0,0,5,8,3,8,0
"org.springframework.core.codec.Encoder",13,6,1,0,0,3,6,3,5,0
"org.springframework.util.InstanceFilter",46,14,10,0,0,26,9,2,5,0
"org.springframework.core.annotation.SynthesizedMergedAnnotationInvocationHandler",208,59,53,0,0,113,44,1,13,2
"org.springframework.cglib.transform.impl.UndeclaredThrowableTransformer",35,7,6,4,0,17,8,1,2,0
"org.springframework.core.convert.ConversionFailedException",22,4,0,2,0,7,3,1,4,0
"org.springframework.core.io.support.EncodedResource",62,21,7,0,0,37,11,1,13,0
"org.springframework.core.codec.ResourceEncoder",24,7,3,0,0,13,9,2,4,0
"org.springframework.asm.MethodWriter",1616,401,503,1,0,875,107,3,50,0
"org.springframework.aot.generate.GeneratedMethod",26,5,0,0,0,18,5,1,5,0
"org.springframework.util.backoff.BackOff",3,1,0,0,0,0,1,1,1,0
"org.springframework.core.convert.support.ObjectToArrayConverter",24,5,1,0,0,13,11,2,4,0
"org.springframework.core.env.PropertyResolver",11,9,0,0,2,0,5,5,9,0
"org.springframework.asm.SpringAsmInfo",3,0,0,0,0,7,0,0,0,0
"org.springframework.core.codec.AbstractSingleValueEncoder",14,3,0,0,0,4,5,0,3,1
"org.springframework.core.io.support.PropertySourceProcessor",77,19,29,0,0,54,33,1,4,0
"org.springframework.cglib.transform.ClassReaderGenerator",16,4,1,0,0,4,2,1,3,0
"org.springframework.core.annotation.MissingMergedAnnotation",81,24,0,0,0,15,28,13,24,0
"org.springframework.core.task.AsyncTaskExecutor",11,5,0,2,1,2,5,3,5,0
"org.springframework.core.convert.support.IdToEntityConverter",54,17,9,0,0,33,25,3,6,0
"org.springframework.core.convert.support.ObjectToObjectConverter",101,37,32,0,0,51,33,2,10,0
"org.springframework.core.CoroutinesUtils",47,13,8,0,0,36,26,2,6,6
"org.springframework.core.AliasRegistry",6,4,0,0,0,0,4,4,4,0
"org.springframework.core.task.SimpleAsyncTaskExecutor",94,21,5,1,0,34,19,1,16,0
"org.springframework.core.serializer.support.SerializationDelegate",20,4,0,0,0,12,2,1,4,0
"org.springframework.core.io.AbstractFileResolvingResource",206,61,64,1,2,87,36,1,13,0
"org.springframework.core.codec.ByteArrayEncoder",24,6,2,0,0,11,13,2,4,1
"org.springframework.cglib.transform.impl.AbstractInterceptFieldCallback",20,18,0,0,0,0,18,2,18,0
"org.springframework.core.LocalVariableTableParameterNameDiscoverer",147,13,12,0,0,85,19,2,4,0
"org.springframework.asm.CurrentFrame",12,2,0,1,0,2,4,2,2,0
"org.springframework.core.io.support.SpringFactoriesLoader",253,22,8,0,0,120,46,2,15,15
"org.springframework.aot.nativex.FileNativeConfigurationWriter",40,12,7,1,0,23,11,1,5,0
"org.springframework.core.annotation.ValueExtractor",3,1,0,0,0,0,1,1,1,0
