"DeclarableId","ULOC","CC","COCO","PC","LLOC"
"io.reactivex.rxjava3.processors.BehaviorProcessor://BehaviorProcessor.constructor$[236:4,239:4]",4,1,0,1,0
"io.reactivex.rxjava3.processors.BehaviorProcessor://subscribeActual$[242:14,259:4]",18,7,8,1,0
"io.reactivex.rxjava3.processors.BehaviorProcessor://onSubscribe$[262:11,268:4]",7,2,1,1,0
"io.reactivex.rxjava3.processors.BehaviorProcessor://onNext$[271:11,282:4]",11,3,2,1,0
"io.reactivex.rxjava3.processors.BehaviorProcessor://onError$[285:11,295:4]",11,3,2,1,0
"io.reactivex.rxjava3.processors.BehaviorProcessor://onComplete$[298:11,306:4]",9,3,2,0,0
"io.reactivex.rxjava3.processors.BehaviorProcessor://offer$[321:11,338:4]",15,4,4,1,0
"io.reactivex.rxjava3.processors.BehaviorProcessor://hasSubscribers$[342:11,344:4]",3,1,0,0,0
"io.reactivex.rxjava3.processors.BehaviorProcessor://subscriberCount$[347:22,349:4]",3,1,0,0,0
"io.reactivex.rxjava3.processors.BehaviorProcessor://getThrowable$[354:11,360:4]",7,2,1,0,0
"io.reactivex.rxjava3.processors.BehaviorProcessor://getValue$[369:11,375:4]",7,3,2,0,0
"io.reactivex.rxjava3.processors.BehaviorProcessor://hasComplete$[379:11,382:4]",4,1,0,0,0
"io.reactivex.rxjava3.processors.BehaviorProcessor://hasThrowable$[386:11,389:4]",4,1,0,0,0
"io.reactivex.rxjava3.processors.BehaviorProcessor://hasValue$[397:11,400:4]",4,3,1,0,0
"io.reactivex.rxjava3.processors.BehaviorProcessor://add$[402:4,417:4]",15,4,5,1,0
"io.reactivex.rxjava3.processors.BehaviorProcessor://remove$[420:4,450:4]",29,9,15,1,0
"io.reactivex.rxjava3.processors.BehaviorProcessor://terminate$[453:4,458:4]",4,1,0,1,0
"io.reactivex.rxjava3.processors.BehaviorProcessor://setCurrent$[460:4,466:4]",7,1,0,1,0
"io.reactivex.rxjava3.internal.operators.observable.ObservableBufferExactBoundary://ObservableBufferExactBoundary.constructor$[34:11,38:4]",5,1,0,3,0
"io.reactivex.rxjava3.internal.operators.observable.ObservableBufferExactBoundary://subscribeActual$[41:14,43:4]",3,1,0,1,0
"io.reactivex.rxjava3.internal.operators.single.SingleUnsubscribeOn://SingleUnsubscribeOn.constructor$[33:11,36:4]",4,1,0,2,0
"io.reactivex.rxjava3.internal.operators.single.SingleUnsubscribeOn://subscribeActual$[39:14,41:4]",3,1,0,1,0
"io.reactivex.rxjava3.internal.jdk8.ParallelFlatMapStream://ParallelFlatMapStream.constructor$[38:11,45:4]",6,1,0,3,0
"io.reactivex.rxjava3.internal.jdk8.ParallelFlatMapStream://parallelism$[48:11,50:4]",3,1,0,0,0
"io.reactivex.rxjava3.internal.jdk8.ParallelFlatMapStream://subscribe$[53:11,68:4]",11,3,2,1,0
"io.reactivex.rxjava3.internal.operators.flowable.FlowableOnBackpressureDrop://FlowableOnBackpressureDrop.constructor$[31:11,34:4]",4,1,0,1,0
"io.reactivex.rxjava3.internal.operators.flowable.FlowableOnBackpressureDrop://FlowableOnBackpressureDrop.constructor$[36:11,39:4]",4,1,0,2,0
"io.reactivex.rxjava3.internal.operators.flowable.FlowableOnBackpressureDrop://accept$[42:11,44:4]",2,1,0,1,0
"io.reactivex.rxjava3.internal.operators.flowable.FlowableOnBackpressureDrop://subscribeActual$[47:14,49:4]",3,1,0,1,0
"io.reactivex.rxjava3.subjects.PublishSubject://create$[117:22,119:4]",3,1,0,0,0
"io.reactivex.rxjava3.subjects.PublishSubject://PublishSubject.constructor$[126:4,128:4]",3,1,0,0,0
"io.reactivex.rxjava3.subjects.PublishSubject://subscribeActual$[131:14,148:4]",16,6,7,1,0
"io.reactivex.rxjava3.subjects.PublishSubject://add$[156:4,173:4]",15,4,5,1,0
"io.reactivex.rxjava3.subjects.PublishSubject://remove$[180:4,213:4]",29,10,16,1,0
"io.reactivex.rxjava3.subjects.PublishSubject://onSubscribe$[216:11,220:4]",5,2,1,1,0
"io.reactivex.rxjava3.subjects.PublishSubject://onNext$[223:11,228:4]",6,2,1,1,0
"io.reactivex.rxjava3.subjects.PublishSubject://onError$[232:11,243:4]",11,3,2,1,0
"io.reactivex.rxjava3.subjects.PublishSubject://onComplete$[247:11,254:4]",8,3,2,0,0
"io.reactivex.rxjava3.subjects.PublishSubject://hasObservers$[258:11,260:4]",3,1,0,0,0
"io.reactivex.rxjava3.subjects.PublishSubject://getThrowable$[265:11,270:4]",6,2,1,0,0
"io.reactivex.rxjava3.subjects.PublishSubject://hasThrowable$[274:11,276:4]",3,2,1,0,0
